Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,FRS1E,462.563000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,FRS2,462.588000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,FRS3,462.613000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,FRS4,462.638000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,FRS5,462.663000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,FRS6,462.688000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,FRS7,462.713000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,FRS8,462.563000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,FRS9,467.588000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,FRS10,467.613000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
11,FRS11,467.638000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
12,FRS12,467.663000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
13,FRS13,467.688000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
14,FRS14,467.713000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,F15G1,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,F16GS2,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,F17G3,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,F18G4,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,F19G5,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,F20G6,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,F21G7,462.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,F22G8,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
23,GM911,462.675000,,0.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
24,MURS 1,151.820000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
25,MURS2,151.880000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
26,MURS3,151.940000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
27,MUR4B,154.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
28,MUR5G,154.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
29,W8HP,146.640000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
30,WR8DAR,145.330000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
31,KE8HR,146.760000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
32,KC8LTS,147.330000,+,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
33,WA8MAC,147.200000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
34,N8KD,147.140000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
35,N8LC,147.080000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
36,K8UO,147.180000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
37,KT8TD,146.920000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
38,KA8ZRR,146.400000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
39,WY8DOT,147.240000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
40,VE3EOW,145.410000,-,0.600000,Tone,118.8,88.5,023,NN,FM,5.00,,,,,,
41,VE3III,147.060000,+,0.600000,Tone,118.8,88.5,023,NN,FM,5.00,,,,,,
42,VE3WHT,146.880000,-,0.600000,Tone,118.8,88.5,023,NN,FM,5.00,,,,,,
43,VE3WIN,147.000000,+,0.600000,Tone,118.8,88.5,023,NN,FM,5.00,,,,,,
44,WR8DAR,444.425000,+,5.000000,Tone,118.8,88.5,023,NN,FM,5.00,,,,,,
45,KC8LTS,442.175000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
46,WB8NXP,442.500000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
47,KA8WYN,443.550000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
48,W8RIF,443.150000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
49,W8HP,443.225000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
50,W8TX,442.275000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
51,WW8GM,443.075000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
52,N8PYN,442.450000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
53,WA8UMT,444.800000,+,5.000000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
54,VE3III,444.500000,+,5.000000,Tone,118.8,88.5,023,NN,FM,5.00,,,,,,
55,VE3UUU,444.400000,+,5.000000,Tone,118.8,88.5,023,NN,FM,5.00,,,,,,
56,VE3WIN,444.600000,+,5.000000,Tone,118.8,88.5,023,NN,FM,5.00,,,,,,
70,TOTL80,157.025000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
71,MICON2,461.163000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
72,MICON1,461.085000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
80,MARV06,156.300000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
81,MAR16E,156.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
